FUW2_01;Vom Rhein-Main-Donau-Kanal zur Veitsbronner Wehrkirche;22;5.5;leichtes Gelände;
FUW2_02;Vom Farrnbach zum "Rangaublick";10;3;leichtes und mittelschweres Gelände;
FUW2_03;Von der Alten Veste nach Cadolzburg;25;6.5;leichtes Gelände;
FUW2_04;Von Burgfarrnbach auf den Dillenberg;28;7;überwiegend leichtes Gelände;
FUW2_05;Von Großhabersdorf zu den "Sieben Richtern" und zum "Heidenhügel";16;4.5;leichtes Gelände;
FUW2_06;Von Langenzenn zum Farrnbach- und Fembachgrund;18;4.5;leichtes Gelände;
FUW2_07;Vom Ulsenbachgrund zum Eschen- und Erlenbachtal;18;4.5;leichtes Gelände;
FUW2_08;Durch den Schußbachwald und zur Burg Hoheneck auf der Frankenhöhe;32;8;leichtes Gelände;
FUW2_09;In den Seebachgrund und zur Hannberger Wehrkirche;13;3.5;leichtes Gelände, bei großer Hitze nicht zu empfehlen;
FUW2_10;In die Weiherlandschaft um Dechsendorf;16;4;leichtes Gelände;
FUW2_11;Zu den Linder Gruben und auf den Eichelberg;12;3;leichtes Gelände;
FUW2_12;Von Großweißmannsdorf an stillen Bachtälern entlang nach Roßtal;22;5.5;leichtes Gelände;
FUW2_13;Vom Schwallbach- zum Schwabachtal;12;3;leichtes Gelände;
FUW2_14;Zur fränkischen Münsterstadt Heilsbronn;10;2.5;leichtes Gelände;
FUW2_15;Von der "Festungsstadt" Lichtenau zur "Minnesängerstadt" Wolframs-Eschenbach;22;5.5;leichtes Gelände;
FUW2_16;Ins südliche Umland von Windsbach;11;3;leichtes Gelände;
FUW2_17;Ins nördliche Umland von Spalt;18;4.5;überwiegend leichtes Gelände;
FUW2_18;Von Spalt über das "Schnittlinger Loch" und "Zigeunerloch" zur Burg Wernfels;18;5;mittelschweres Gelände;
FUW2_19;Von Spalt zum Brombachspeicher;19;5;überwiegend leichtes Gelände;
FUW2_20;Vom Hembach zum Finsterbach und in den Brunnauer Forst;23;6;leichtes Gelände;
FUW2_21;Von Lauf durch die Bitterbachschlucht und nach Simonshofen;17;4.5;leichtes Gelände;
FUW2_22;Durch die Waldungen des Eichelbergs im Westen Schnaittachs;15;4;leichtes Gelände;
FUW2_23;Von Kornburg auf den Glasersberg und ins untere Schwarzachtal;15;4;leichtes Gelände;
FUW2_24;Von Ochenbruck ins obere Hembachtal und durch die Schwarzachklamm;26;6.5;leichtes Gelände;
FUW2_25;Vom Moritzberg nach Weißenbrunn und Klingenhof;16;4.5;mittelschweres Gelände;
FUW2_26;Durch das nördliche Altdorfer Land;25;6.5;leichtes Gelände;
FUW2_27;Ausgedehnter Streifzug durch die Staats- und Castellwaldungen südlich von Nürnberg;28;7;leichtes Gelände;
FUW2_28;Zur einzigartigen Aussicht auf den Möninger Berg;22;6;leichtes Gelände, an sehr heißen Sommertagen nicht zu empfehlen;
FUW2_29;Der Anton-Leidinger-Gedächtnis-Weg;71;17;überwiegend leichtes Gelände;
FUW2_30;Von Weißenbrunn nach Ottensoos;16;4;überwiegend leichtes Gelände;
FUW2_31;Von Hersbruck zum Keilberg und zum Deckersberg;25;6.5;mittelschweres Gelände, für sehr heiße Tage weniger geeignet;
FUW2_32;Von Henfenfeld auf den Buchenberg und den Nonnenberg;18;5;mittelschweres Gelände;
FUW2_33;Von Reichenschwand zum Glatzenstein und Großen Hansgörgl;13;3.5;mittelschweres Gelände;
FUW2_34;Über die Festungsruine Rothenberg in den Osternoher Talkessel;12;3.5;mittelschweres Gelände;
FUW2_35;Vom Pegnitztal zum Langenstein;11;3;mittelschweres Gelände;
FUW2_36;Vom Rothenberg zur einstigen Stauferburg Hohenstein;14;4;leichtes bis mittelschweres Gelände;
FUW2_37;Der "Simmelsdorfer Rundweg";20;5.5;leichtes bis mittelschweres Gelände;
FUW2_38;Ins Bergland westlich von Simmelsdorf und Hüttenbach;13;4;leichtes Gelände;
FUW2_39;Vom Bühler Kirchlein nach St. Helena und Bernhof;14;4;leichtes bis mittelschweres Gelände;
